Rank,Country / territory,Population2010(OECD estimate),Changefrom 2005*,Area (km2)[1],Populationdensity(peopleper km2)
—,World,6843522711,,,
1,China,1339724852,,9596961,140
2,India,1182105564,,3287263,360
3,United States,309349689,,9833520,31
4,Indonesia,237641326,,1904569,125
5,Brazil,193252604,,8515767,23
6,Pakistan,173510000,,881913,197
7,Nigeria,158258917,2,923768,171
8,Bangladesh,148600000,,147570,1007
9,Russia,142849472,2,17075200,8
10,Japan,128056000,,377972,339
11,Mexico,112336538,,1972550,57
12,Philippines,92337852,,343448,269
13,Vietnam,86932500,1,331230.8,262
14,Ethiopia,83483000,1,1104300,76
15,Germany,81802257,1,357168,229
16,Egypt,78728000,,1010408,78
17,Iran,74733230,1,1648195,45
18,Turkey,73722988,1,783356,94
19,Democratic Republic of the Congo,67827496,4,2345409,29
20,Thailand,63878267,,513120,124
21,France,62791013,2,640679,98
22,United Kingdom,62026962,1,242495,256
23,Italy,60340328,1,301338,200
24,Myanmar,59780000,,676578,198
25,South Africa,49991300,1,1221037,41
26,South Korea,49410366,1,100210,493
27,Spain,45989016,2,505990,91
28,Ukraine,45782592,1,603628,76
29,Colombia,45508205,1,1141748,40
30,Tanzania,43187823,2,947303,46
31,Sudan,42338426,2,1886068,22
32,Kenya,40862900,2,580367,70
33,Argentina,40518951,3,2780400,15
34,Poland,38167329,3,312679,122
35,Algeria,35978000,,2381741,15
36,Canada,34108752,,9984670,3
37,Iraq,32481000,3,437072,74
38,Morocco,31894000,1,710850,45
39,Uganda,31784600,,241038,132
40,Peru,29461933,1,1285216,0
41,Venezuela,28833845,2,716445,0
42,Malaysia,28334135,3,330803,0
43,Nepal,28043744,1,147181,0
44,Uzbekistan,28001400,,448978,0
45,Saudi Arabia,27136977,1,2149690,0
46,Afghanistan,24485600,8,652864,0
47,North Korea,24325701,,120540,0
48,Ghana,24223431,1,239567,0
49,Taiwan,23162120,1,36197,0
50,Yemen,23153982,1,527968,0
51,Mozambique,22416881,4,801590,0
52,Australia,22299800,1,7692024,0
53,Cote d'Ivoire,21570746,4,322463,0
54,Romania,21462186,4,238397,0
55,Sri Lanka,20653000,3,65610,0
56,Syria,20619000,2,185180,0
57,Madagascar,20146442,1,587041,0
58,Cameroon,19958352,,475442,0
59,Angola,18992708,2,1246700,0
60,Chile,17094270,,756096,0
61,Netherlands,16574989,2,41543,0
62,Kazakhstan,16442000,,2724900,0
63,Burkina Faso,15730977,4,274200,0
64,Mali,15370000,1,1240192,0
65,Niger,15203822,1,1267000,0
66,Ecuador,14483499,,283561,0
67,Guatemala,14361666,2,108889,0
68,Cambodia,14302779,5,181035,0
69,Malawi,13947592,1,118484,0
70,Zambia,13257269,1,752618,0
71,Zimbabwe,12644041,3,390757,0
72,Senegal,12509434,,196712,0
73,Chad,11714904,8,1284000,0
74,Greece,11305118,,131957,0
75,Cuba,11241161,2,109884,0
76,Belgium,10839905,1,30528,0
77,Portugal,10637713,1,92212,0
78,Tunisia,10547100,,163610,0
79,Czechia,10506813,2,78866,0
80,Bolivia,10426154,4,1098581,0
81,Rwanda,10412820,5,26338,0
82,Guinea,10323755,1,245836,0
83,Hungary,10014324,4,93030,0
84,Dominican Republic,9884371,3,48315,0
85,Haiti,9855000,3,27750,0
86,Belarus,9480178,4,207595,0
87,Somalia,9358602,4,637657,0
88,Sweden,9340682,3,450295,0
89,Benin,9211741,,114763,0
90,Azerbaijan,8997586,,86600,0
91,Burundi,8518862,3,27834,0
92,Austria,8375290,,83879,0
93,United Arab Emirates,8264070,24,83600,0
94,Honduras,8045990,2,112492,0
95,Switzerland,7785806,,41285,0
96,Israel,7623600,3,22072,0
97,Tajikistan,7616400,3,143100,0
98,Bulgaria,7563710,5,110993.6,0
99,Serbia,7291436,19,77474,0
100,Hong Kong,7024200,3,2755,0
101,Papua New Guinea,6744955,3,462840,0
102,Libya,6545619,3,1759541,0
103,Paraguay,6459727,2,406752,0
104,Laos,6230200,1,237955,0
105,El Salvador,6194126,7,21041,0
106,Togo,6191155,4,56785,0
107,Jordan,6113000,1,89341,0
108,Sierra Leone,5835664,,71740,0
109,Nicaragua,5822265,,130375,0
110,Denmark,5534738,,42931,0
111,Turkmenistan,5479800,3,491210,0
112,Slovakia,5424925,1,49035,0
113,Kyrgyzstan,5418300,1,199951,0
114,Finland,5351427,1,338424,0
115,Eritrea,5223994,4,117600,0
116,Singapore,5076700,5,721.5,7036
117,Norway,4858199,2,385203,0
118,Costa Rica,4563539,2,51100,0
119,Central African Republic,4505945,4,622984,0
120,Ireland,4467854,3,70273,0
121,Georgia,4436391,3,69700,0
122,Croatia,4425747,6,56594,0
123,New Zealand,4367800,1,268021,0
124,Liberia,4101767,8,111369,0
125,Palestine,4048403,3,6020,0
126,Bosnia and Herzegovina,3844046,1,51129,0
127,Lebanon,3785655,2,10452,0
128,Republic of the Congo,3758678,3,342000,0
129,Puerto Rico,3721978,3,9104,0
130,Kuwait,3566437,7,17818,0
131,Moldova,3563695,,33846,0
132,Panama,3504483,,75417,0
133,Uruguay,3356584,,176215,0
134,Lithuania,3329039,,65300,0
135,Armenia,3249482,,29743,0
136,Mauritania,3217383,,1030000,0
137,Albania,3195000,,28748,0
138,Mongolia,2780800,,1566000,0
